id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
TERF1,6,0.40979,0.54055,0.994559,281,2,0.057822,0.13877,0.927067,79,3
RBBP4,6,0.41108,0.54165,0.994559,282,2,0.97735,0.97735,0.999673,513,0
KAT2A,6,0.41111,0.54165,0.994559,283,2,0.93956,0.9393,0.999673,487,0
RFC4,6,0.41937,0.54869,0.994559,284,2,0.094936,0.19594,0.944473,107,3
POLG,6,0.42267,0.5517,0.994559,285,2,0.34066,0.47754,0.982548,253,2
REC8,6,0.42515,0.55366,0.994559,286,2,0.56699,0.66007,0.992316,349,1
PML,6,0.42598,0.55458,0.994559,287,2,0.71239,0.74045,0.999673,386,1
POLB,6,0.4268,0.55529,0.994559,288,2,0.060854,0.14359,0.927067,81,1
CHAF1A,6,0.42803,0.55648,0.994559,289,1,0.69072,0.72667,0.999673,375,1
RPS27A,6,0.42931,0.55772,0.994559,290,1,0.81561,0.8183,0.999673,422,1
MDM2,6,0.4301,0.55843,0.994559,291,2,0.94525,0.94455,0.999673,492,0
APEX2,6,0.4306,0.55878,0.994559,292,1,0.7245,0.74867,0.999673,388,1
MCM4,6,0.43315,0.56132,0.994559,293,1,0.23919,0.38548,0.982548,205,1
FANCL,6,0.4334,0.56154,0.994559,294,2,0.92808,0.92827,0.999673,480,0
NonTargetControl_0027,1,0.43362,0.56173,0.994559,295,0,0.56638,0.65981,0.992316,348,0
